ASN/DN #,Country,Vendor,Shipment Mode,Fulfill Via,Managed By,Product Group,Vendor INCO Term,Manufacturing Site,S1_quote_to_po,S2_po_to_plan,S3_plan_to_actual,S4_actual_to_recorded,E2E_quote_to_recorded,PQ First Sent to Client Date_dt,PO Sent to Vendor Date_dt,Scheduled Delivery Date_dt,Delivered to Client Date_dt,Delivery Recorded Date_dt,po_absent_structural,pq_pre_process,Line Item Value,Line Item Quantity,freight_usd,weight_kg,n_lines,freight_stated,weight_stated,year,late,early_over_14,abs_dev,channel
ASN-10251,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,111.0,53.0,0.0,182.0,2010-11-26,2010-12-14,2011-04-04,2011-05-27,2011-05-27,False,False,9601.48,4529,3524.93,1679.0,1,True,True,2011,1,0,53.0,Direct Drop (order-driven)
ASN-10252,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,114.0,32.0,0.0,164.0,2010-11-26,2010-12-14,2011-04-07,2011-05-09,2011-05-09,False,False,265188.7,39878,,,1,False,False,2011,1,0,32.0,Direct Drop (order-driven)
ASN-10253,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,214.0,30.0,0.0,268.0,2010-08-31,2010-09-24,2011-04-26,2011-05-26,2011-05-26,False,False,438146.13,96721,,,1,False,False,2011,1,0,30.0,Direct Drop (order-driven)
ASN-10264,Côte d'Ivoire,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,18.0,452.0,0.0,0.0,470.0,2009-12-28,2010-01-15,2011-04-12,2011-04-12,2011-04-12,False,False,18536.1,2706,9539.6,346.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10269,Zimbabwe,BIOLYTICAL LABORATORIES INC.,Air,Direct Drop,PMO - US,HRDT,CIF,bioLytical Laboratories,33.0,118.0,0.0,0.0,151.0,2010-12-10,2011-01-12,2011-05-10,2011-05-10,2011-05-10,False,False,23396.75,7199,1014.5,369.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-1028,Rwanda,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",,55.0,0.0,0.0,,,2007-11-16,2008-01-10,2008-01-10,2008-01-10,False,True,222400.0,6950,,,2,False,False,2008,0,0,0.0,Direct Drop (order-driven)
ASN-10315,Sudan,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,FCA,Inverness Japan,25.0,58.0,0.0,0.0,83.0,2011-02-05,2011-03-02,2011-04-29,2011-04-29,2011-04-29,False,False,200.0,25,1201.72,2.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10317,Rwanda,HETERO LABS LIMITED,Ocean,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,25.0,245.0,0.0,0.0,270.0,2010-09-03,2010-09-28,2011-05-31,2011-05-31,2011-05-31,False,False,776702.16,82981,14760.6,6683.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10320,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,Direct Drop,PMO - US,HRDT,EXW,Chembio Diagnostics Sys. Inc.,26.0,84.0,0.0,0.0,110.0,2011-02-04,2011-03-02,2011-05-25,2011-05-25,2011-05-25,False,False,41992.0,1448,3060.82,482.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10338,Uganda,ASPEN PHARMACARE,Air,Direct Drop,PMO - US,ARV,DDP,"Aspen-OSD, Port Elizabeth, SA",15.0,67.0,0.0,0.0,82.0,2011-01-06,2011-01-21,2011-03-29,2011-03-29,2011-03-29,False,False,8780.85,95,171.0,14.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10345,Vietnam,STRIDES ARCOLAB LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,"Strides, Bangalore, India.",23.0,63.0,0.0,0.0,86.0,2011-01-17,2011-02-09,2011-04-13,2011-04-13,2011-04-13,False,False,50542.03,9377,8494.45,692.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-1039,Ethiopia,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",,48.0,34.0,0.0,,,2007-10-03,2007-11-20,2007-12-24,2007-12-24,False,True,54350.75,35065,6755.81,2318.0,1,True,True,2007,1,0,34.0,Direct Drop (order-driven)
ASN-10406,Côte d'Ivoire,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,78.0,98.0,0.0,0.0,176.0,2011-01-05,2011-03-24,2011-06-30,2011-06-30,2011-06-30,False,False,320722.9,9517,17068.85,2368.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10407,Côte d'Ivoire,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,78.0,98.0,0.0,0.0,176.0,2011-01-05,2011-03-24,2011-06-30,2011-06-30,2011-06-30,False,False,162063.3,4809,17068.84,1196.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10408,Guatemala,GLAXOSMITHKLINE EXPORT LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,GSK Barnard Castle UK,4.0,100.0,0.0,0.0,104.0,2011-01-03,2011-01-07,2011-04-17,2011-04-17,2011-04-17,False,False,5265.0,75,209.37,29.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10409,Haiti,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Air,Direct Drop,PMO - US,ARV,CIP,"MSD, Haarlem, NL",15.0,163.0,0.0,0.0,178.0,2010-10-20,2010-11-04,2011-04-16,2011-04-16,2011-04-16,False,False,8904.0,525,290.0,159.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10450,Sudan,"Standard Diagnostics, Inc.",Air,Direct Drop,PMO - US,HRDT,EXW,"Standard Diagnostics, Korea",25.0,58.0,0.0,0.0,83.0,2011-02-05,2011-03-02,2011-04-29,2011-04-29,2011-04-29,False,False,340.0,17,2701.16,244.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10451,Sudan,"Standard Diagnostics, Inc.",Air,Direct Drop,PMO - US,HRDT,EXW,"Standard Diagnostics, Korea",25.0,58.0,0.0,0.0,83.0,2011-02-05,2011-03-02,2011-04-29,2011-04-29,2011-04-29,False,False,11.7,13,137.5,1.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10453,Nigeria,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",16.0,24.0,0.0,0.0,40.0,2011-03-09,2011-03-25,2011-04-18,2011-04-18,2011-04-18,False,False,7800.0,4000,9316.91,1573.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10455,Uganda,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Air,Direct Drop,PMO - US,ARV,CIP,"MSD, Haarlem, NL",15.0,88.0,0.0,0.0,103.0,2011-01-06,2011-01-21,2011-04-19,2011-04-19,2011-04-19,False,False,5032.5,55,99.0,6.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10469,Tanzania,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,65.0,91.0,0.0,0.0,156.0,2010-12-27,2011-03-02,2011-06-01,2011-06-01,2011-06-01,False,False,100000.0,1250,14398.69,600.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10471,Kenya,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,FCA,Inverness Japan,15.0,103.0,0.0,0.0,118.0,2011-01-19,2011-02-03,2011-05-17,2011-05-17,2011-05-17,False,False,1096035.0,12315,38452.73,3637.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10479,Guatemala,Hoffmann-La Roche ltd Basel,Air,Direct Drop,PMO - US,ARV,FCA,Roche Basel,7.0,103.0,0.0,0.0,110.0,2010-12-29,2011-01-05,2011-04-18,2011-04-18,2011-04-18,False,False,41553.18,175,566.56,31.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10511,South Africa,CIPLA LIMITED,Ocean,Direct Drop,PMO - US,ARV,DDP,"Cipla, Goa, India",21.0,196.0,55.0,0.0,272.0,2010-08-31,2010-09-21,2011-04-05,2011-05-30,2011-05-30,False,False,107136.0,38400,,,1,False,False,2011,1,0,55.0,Direct Drop (order-driven)
ASN-10512,South Africa,CIPLA LIMITED,Ocean,Direct Drop,PMO - US,ARV,DDP,"Cipla, Goa, India",18.0,167.0,0.0,0.0,185.0,2010-11-26,2010-12-14,2011-05-30,2011-05-30,2011-05-30,False,False,1029000.0,150000,13731.6,10156.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10555,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,114.0,67.0,0.0,199.0,2010-11-26,2010-12-14,2011-04-07,2011-06-13,2011-06-13,False,False,192231.55,28907,,,1,False,False,2011,1,0,67.0,Direct Drop (order-driven)
ASN-10556,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,168.0,0.0,0.0,186.0,2010-11-26,2010-12-14,2011-05-31,2011-05-31,2011-05-31,False,False,527012.5,79250,8809.08,7397.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10560,Tanzania,"Standard Diagnostics, Inc.",Air,Direct Drop,PMO - US,HRDT,EXW,"Standard Diagnostics, Korea",26.0,75.0,0.0,0.0,101.0,2011-02-25,2011-03-23,2011-06-06,2011-06-06,2011-06-06,False,False,67980.0,3399,8509.57,1133.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10567,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,168.0,13.0,0.0,199.0,2010-11-26,2010-12-14,2011-05-31,2011-06-13,2011-06-13,False,False,722702.05,108677,8809.08,10144.0,1,True,True,2011,1,0,13.0,Direct Drop (order-driven)
ASN-10568,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,168.0,13.0,0.0,199.0,2010-11-26,2010-12-14,2011-05-31,2011-06-13,2011-06-13,False,False,515195.45,77473,8809.08,7228.0,1,True,True,2011,1,0,13.0,Direct Drop (order-driven)
ASN-10569,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,181.0,0.0,0.0,199.0,2010-11-26,2010-12-14,2011-06-13,2011-06-13,2011-06-13,False,False,346850.7,52158,6121.41,4868.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10570,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,214.0,43.0,0.0,281.0,2010-08-31,2010-09-24,2011-04-26,2011-06-08,2011-06-08,False,False,60060.54,25342,11372.22,1279.0,1,True,True,2011,1,0,43.0,Direct Drop (order-driven)
ASN-10571,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,181.0,0.0,0.0,199.0,2010-11-26,2010-12-14,2011-06-13,2011-06-13,2011-06-13,False,False,145608.4,21896,5768.66,2044.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10572,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,168.0,13.0,0.0,199.0,2010-11-26,2010-12-14,2011-05-31,2011-06-13,2011-06-13,False,False,665.0,100,8809.05,11.0,1,True,True,2011,1,0,13.0,Direct Drop (order-driven)
ASN-10573,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,181.0,0.0,0.0,199.0,2010-11-26,2010-12-14,2011-06-13,2011-06-13,2011-06-13,False,False,287812.0,43280,6121.42,4040.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10574,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,214.0,43.0,0.0,281.0,2010-08-31,2010-09-24,2011-04-26,2011-06-08,2011-06-08,False,False,90871.8,20060,35753.93,1726.0,1,True,True,2011,1,0,43.0,Direct Drop (order-driven)
ASN-10575,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,252.0,0.0,0.0,276.0,2010-08-31,2010-09-24,2011-06-03,2011-06-03,2011-06-03,False,False,131450.0,55000,7321.43,3099.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10576,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,221.0,31.0,0.0,276.0,2010-08-31,2010-09-24,2011-05-03,2011-06-03,2011-06-03,False,False,173222.86,17357,4573.2,2301.0,1,True,True,2011,1,0,31.0,Direct Drop (order-driven)
ASN-1061,Kazakhstan,Orasure Technologies Inc.,Air,Direct Drop,PMO - US,HRDT,DDP,"Pacific Biotech, Thailand",,27.0,0.0,0.0,,,2007-11-30,2007-12-27,2007-12-27,2007-12-27,False,True,17500.0,50,,,1,False,False,2007,0,0,0.0,Direct Drop (order-driven)
ASN-10617,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE (Abbott) Logis. UK,23.0,90.0,0.0,0.0,113.0,2011-01-17,2011-02-09,2011-05-10,2011-05-10,2011-05-10,False,False,7434.36,36,7300.68,111.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10619,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE (Abbott) Logis. UK,23.0,89.0,0.0,0.0,112.0,2011-01-17,2011-02-09,2011-05-09,2011-05-09,2011-05-09,False,False,2891.14,14,7339.84,52.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10625,Tanzania,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,26.0,89.0,0.0,0.0,115.0,2011-02-25,2011-03-23,2011-06-20,2011-06-20,2011-06-20,False,False,6880.0,86,1765.86,40.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-1066,Rwanda,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,CIP,"Aurobindo Unit III, India",,31.0,0.0,0.0,,,2007-12-03,2008-01-03,2008-01-03,2008-01-03,False,True,381992.5,32510,28336.18,2791.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-10663,Rwanda,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,CIP,"Aurobindo Unit III, India",24.0,210.0,0.0,0.0,234.0,2010-09-03,2010-09-27,2011-04-25,2011-04-25,2011-04-25,False,False,19601.25,1165,,,2,False,False,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10666,Ethiopia,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",19.0,92.0,0.0,0.0,111.0,2011-01-13,2011-02-01,2011-05-04,2011-05-04,2011-05-04,False,False,21125.0,1625,1206.62,111.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-1067,Rwanda,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,CIP,"Aurobindo Unit III, India",,31.0,0.0,0.0,,,2007-12-03,2008-01-03,2008-01-03,2008-01-03,False,True,567043.25,48259,19088.86,4143.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-10712,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,29.0,102.0,0.0,0.0,131.0,2011-01-17,2011-02-15,2011-05-28,2011-05-28,2011-05-28,False,False,247422.0,3010,9193.82,756.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10729,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,Direct Drop,PMO - US,HRDT,EXW,Chembio Diagnostics Sys. Inc.,26.0,84.0,0.0,0.0,110.0,2011-02-04,2011-03-02,2011-05-25,2011-05-25,2011-05-25,False,False,30508.0,1052,2335.9,334.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
